,C1,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,C5p,LongSentences,RealWords,LongWords,PositiveWords,NegativeWords,UncertainWords,C2,C3p
0,0.458312020460358,1.0,0.6304181623079402,0.4066822239968245,0.4540998082870612,0.04312805071913297,0.47075208913649025,0.5207213168996608,0.522444552408284,0.5311387900355872,0.5340546807071781,0.43336199484092863,0.4313507504168982,0.4405458089668616,0.03439911947809948,0.44178566491696714,0.006121498795804342,0.006175869510913642,0.006160899792847389,0.003974191041440232,0.002966778143065481,1.0,0
1,0.9999999999999998,0.21388888888888896,0.38473543487358974,0.27472342002183087,0.08450988987972603,0.021754552236122115,0.9178272980501393,0.895979816361982,0.8851277300100556,0.9030249110320284,0.8663897207999228,0.4952708512467756,0.9872151195108393,0.8226120857699805,0.11658632513154779,0.4447955433659397,0.006053121444265986,0.005851436025032185,0.004156023415614648,0.0050492681979189494,0.002939693103185371,0.0,1
2,0.3273657289002557,0.2842592592592593,0.5820107532152469,0.14352113212227696,0.2016969371796128,0.006143966032504676,0.09610027855153203,0.2123004384150881,0.21625408159806567,0.22330960854092524,0.2519563327214762,0.4264832330180568,0.05780989438576989,0.13255360623781676,0.029414115311097534,0.43927535282324115,0.006124688422420405,0.007029879515589812,0.014492785593929015,0.0023230977634370246,0.0032090831206544566,1.0,1
3,0.8143222506393861,0.34537037037037044,0.5780042592403551,0.12172927234481948,0.17916096654501917,0.007109638678358368,0.27298050139275765,0.3362561005873108,0.3423006089913792,0.31049822064056937,0.39416481499372047,0.5571797076526225,0.17342968315730964,0.32748538011695905,0.028715138033596738,0.37169007901668133,0.006176617908641653,0.007014666678807817,0.012128701799712864,0.002815101115899415,0.004188726466055349,1.0,1
4,0.2864450127877238,0.5268518518518519,0.2599824998131782,0.2951565997123238,0.34818074630447127,0.5318130861081923,0.6128133704735376,0.6080320952932419,0.595478323748404,0.5934163701067615,0.557240846295044,0.46775580395528804,0.5736520289049472,0.5497076023391813,0.03300918842367853,0.40491769863148264,0.005984051696564616,0.0055281128649196576,0.005718471007362684,0.004452671266175103,0.0031367197762800043,1.0,0
5,0.34373401534526854,0.525,0.1287535467986498,0.42240511775580303,0.31020344409464295,0.16614700696087434,0.5264623955431755,0.7391016626685417,0.6297355011468019,0.5791814946619217,0.6306637039899528,0.43336199484092863,0.3379655364091162,0.6042884990253411,0.05312316959877439,0.44367153850126534,0.005214111702493481,0.005156466757176284,0.004387402230376339,0.0017942042616827703,0.002520782980526712,1.0,0
6,0.4828644501278772,0.16759259259259263,0.48582752034735194,0.16754259082198927,0.2242329078142064,0.004266456149625372,0.5055710306406686,0.6464140954586814,0.6305941902900335,0.6699288256227758,0.5402376581972756,0.5709372312983663,0.38243468593663144,0.4249512670565302,0.0303599698764669,0.5288778567057759,0.00596374959016838,0.005044478608383114,0.006569074490647993,0.002579923282133645,0.0017595613327228473,1.0,1
7,0.3314578005115089,0.3768518518518519,0.6972778330020426,0.17108606462976403,0.3369127609871745,0.4209137945623148,0.28133704735376047,0.4589709653403921,0.45447252759668727,0.4866548042704626,0.0,0.3852106620808255,0.44469149527515284,0.3742690058479532,0.01987451722029895,0.5710853621992187,0.006033275101120368,0.0,0.006191588031324321,0.0048149128160561196,0.00293564326910576,0.0,1
8,0.3682864450127877,0.4194444444444445,0.29228842985456194,0.5378509134513594,0.4721285847947361,0.2351311951262188,0.6796657381615598,0.6073289767557284,0.6084490492277447,0.5916370106761566,0.7094966669886968,0.4058469475494411,0.4624791550861589,0.8109161793372319,0.04398483812470857,0.3721688521340168,0.0061214136073077605,0.007045961206916007,0.004971362384890448,0.003507303493741899,0.005455590234787065,1.0,1
9,0.39283887468030687,0.7898148148148149,0.3177152407746354,0.3265941594850568,0.4721285847947361,0.41548654412639163,0.35236768802228413,0.3724460253122674,0.3663890991672975,0.347864768683274,0.3555212056806106,0.5640584694754944,0.311284046692607,0.47173489278752434,0.026268101314046464,0.3540614574187884,0.005977947097457783,0.005721505255302835,0.011113642267070635,0.004343307637084905,0.005607309659125671,1.0,0
