,C1,C4,C6p,C7,C5p,T4p,T3p,T5p,S1p,S2p,S3p,C2,C3p,Industry_Bins,Y1,Y2
0,0.013297143335514716,0.6711072162061364,1.2823563329621543,-0.5614084143706015,0.054797365378233764,0.16866361999792662,0.1743696929223701,0.3105755390225517,-0.14729074427031455,0.16504395206913766,-0.12818074245131436,1.0,0,1,0,1
1,1.259276729497056,-0.6419005520789126,-0.7599326711060854,-0.861441431768043,2.432763888643025,0.22932349679501024,0.09979146069303547,-0.016410469283378748,-1.2411948237799266,0.7810338946947533,-0.1477947764362473,0.0,1,1,1,0
2,-0.4474998489127184,0.4124024027053883,-0.7599326711060854,-1.331893800114391,-0.23239047034322324,0.1180718021191594,0.1778315963547556,1.1074080299243645,2.7668710115837962,-0.9747778263712276,0.04453083444291613,1.0,1,1,1,0
3,0.8882010127381732,0.3909904061537559,-0.7599326711060854,-1.2826546582463585,-0.2760015528341837,-1.2440145584787337,0.2339836713182907,1.0939392182418208,2.0915728612476867,-0.6034814746409739,0.697711871818957,1.0,1,1,1,1
4,-0.6197283016507229,-1.3086204902742034,1.0278687768806385,0.8877468196248148,-0.02139862448865696,-0.5743585088192428,0.023741861680480644,-0.35769766581756585,-0.3650241845256079,0.4487928014267186,-0.006539229096743756,1.0,0,3,0,1
5,-0.38305425725382414,-2.00995035799163,-0.7599326711060854,0.14089903094836118,0.877692424589787,0.2066707559065064,-0.8776926686978318,-0.7712265239739048,-1.0986217066378916,-1.4145951745390304,-0.459614696523057,1.0,0,2,0,1
6,0.08817626820541116,-0.10163182856983204,-0.7599326711060854,-1.4495227905434398,-0.1747858696630162,1.9238845411950896,0.0012490403421335152,-0.9007128988381589,0.04435199782015403,-0.7769482833243608,-1.072697837271788,1.0,1,1,1,1
7,-0.4311680621236825,1.0284268695781649,-0.7599326711060854,0.7257601116686591,-0.924057631720258,2.7745175905192028,0.07801389817988504,-7.096902890022447,-0.13258755543296508,0.6531503499339968,-0.15073299473739452,0.0,1,1,1,0
8,-0.2905450910620894,-1.13596717618502,-0.7599326711060854,0.3488549928067958,0.5160905372528927,-1.2343655580942698,0.17427721185305056,1.1216196674603691,-0.7603425471390151,-0.12918587833592446,1.4552849278801416,1.0,1,2,1,1
9,-0.20255139685150986,-1.0000780943215315,-0.7599326711060854,0.7169546810725203,-0.4362579629714783,-1.599294691002231,0.016985235530662657,-0.1516207952626907,1.7742489676395998,0.3853894006569974,1.5405559390967745,1.0,0,1,1,0
10,0.3369431230601497,-0.003319238141055525,-0.7599326711060854,0.7257601116686591,0.11423393526388585,-1.6728719370123544,0.07625645853748399,-2.2723308739823644,0.8595375561592044,-0.03601006978209468,-0.5517435065847348,1.0,0,3,0,0
11,-0.30563619582261203,0.2506083718230531,-0.7599326711060854,-2.1538738686810457,-0.8184722822597826,-1.1624366461373508,0.09747512788533756,1.5706436970282571,-0.0672167406161157,-0.6280599128257728,0.28811424803340635,1.0,1,1,1,1
