,I1,I2,I3,pIPO,pH,pL,p1day,Pmid,Y1,Y2,C1,C4,C7,C5p,C6p,T4p,T3p,T5p,S1p,S2p,S3p,C2,C3p
0,AATI,ADVANCED ANALOGIC TECHNOLOGIES INC,3674,10.0,9.5,8.5,11.869999885559098,9.0,0,1,0.013297143335514716,0.6711072162061364,-0.5614084143706015,0.054797365378233764,1.2823563329621543,0.16866361999792662,0.1743696929223701,0.31057553902255175,-0.14729074427031455,0.16504395206913766,-0.12818074245131436,1.0,0
1,ABPI,ACCENTIA BIOPHARMACEUTICALS INC,2834,8.0,10.0,8.0,7.25,9.0,1,0,1.259276729497056,-0.6419005520789126,-0.861441431768043,2.432763888643025,-0.7599326711060854,0.22932349679501024,0.09979146069303549,-0.016410469283378748,-1.2411948237799266,0.7810338946947533,-0.1477947764362473,0.0,1
2,ACAD,ACADIA PHARMACEUTICALS INC,2834,7.0,14.0,12.0,6.699999809265139,13.0,1,0,-0.4474998489127184,0.4124024027053883,-1.331893800114391,-0.23239047034322324,-0.7599326711060854,0.11807180211915941,0.1778315963547556,1.1074080299243645,2.7668710115837962,-0.9747778263712275,0.04453083444291613,1.0,1
3,ACHN,ACHILLION PHARMACEUTICALS INC,2834,11.5,16.0,14.0,12.390000343322802,15.0,1,1,0.8882010127381732,0.39099040615375585,-1.2826546582463583,-0.2760015528341837,-0.7599326711060854,-1.2440145584787337,0.23398367131829068,1.0939392182418208,2.091572861247687,-0.6034814746409739,0.697711871818957,1.0,1
4,ACLI,AMERICAN COMMERCIAL LINES INC. ,4492,21.0,21.0,19.0,56.5999984741211,20.0,0,1,-0.6197283016507229,-1.3086204902742034,0.8877468196248148,-0.02139862448865696,1.0278687768806383,-0.5743585088192428,0.023741861680480644,-0.35769766581756585,-0.3650241845256079,0.4487928014267186,-0.006539229096743756,1.0,0
5,ACOM,Ancestry.com Inc. ,7379,13.5,14.5,12.5,14.1999998092651,13.5,0,1,-0.38305425725382414,-2.00995035799163,0.14089903094836118,0.877692424589787,-0.7599326711060854,0.2066707559065064,-0.8776926686978318,-0.7712265239739048,-1.0986217066378916,-1.4145951745390304,-0.45961469652305703,1.0,0
6,ACOR,ACORDA THERAPEUTICS INC,2836,6.0,13.0,11.0,6.71999979019165,12.0,1,1,0.08817626820541116,-0.10163182856983205,-1.4495227905434398,-0.1747858696630162,-0.7599326711060854,1.9238845411950898,0.0012490403421335152,-0.9007128988381589,0.04435199782015403,-0.7769482833243608,-1.072697837271788,1.0,1
7,ACRX,ACELRX PHARMACEUTICALS INC,2834,5.0,14.0,12.0,4.550000190734861,13.0,1,0,-0.4311680621236825,1.028426869578165,0.7257601116686591,-0.9240576317202579,-0.7599326711060854,2.7745175905192028,0.07801389817988504,-7.096902890022447,-0.13258755543296508,0.6531503499339968,-0.15073299473739452,0.0,1
8,ACTV,ACTIVE NETWORK INC,7372,15.0,18.0,16.0,15.8999996185303,17.0,1,1,-0.2905450910620894,-1.13596717618502,0.3488549928067958,0.5160905372528927,-0.7599326711060854,-1.2343655580942698,0.17427721185305056,1.1216196674603693,-0.7603425471390151,-0.12918587833592443,1.455284927880142,1.0,1
9,ACW,ACCURIDE CORP,3714,9.0,19.0,17.0,0.0,18.0,1,0,-0.20255139685150986,-1.0000780943215315,0.7169546810725203,-0.4362579629714783,-0.7599326711060854,-1.599294691002231,0.016985235530662657,-0.1516207952626907,1.7742489676395998,0.3853894006569974,1.5405559390967745,1.0,0
10,ADKU,"ADCARE HEALTH SYSTEMS, INC",-,,,,,,0,0,0.33694312306014973,-0.003319238141055525,0.7257601116686591,0.11423393526388584,-0.7599326711060854,-1.6728719370123544,0.07625645853748399,-2.2723308739823636,0.8595375561592044,-0.03601006978209468,-0.5517435065847348,1.0,0
11,ADLS,"Advanced Life Sciences Holdings, Inc.",2854,5.0,9.0,8.0,6.0,8.5,1,1,-0.305636195822612,0.25060837182305307,-2.153873868681046,-0.8184722822597826,-0.7599326711060854,-1.162436646137351,0.09747512788533756,1.5706436970282573,-0.0672167406161157,-0.6280599128257728,0.28811424803340635,1.0,1
