,C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,C3p,C5p,LongSentences,RealWords,LongWords,PositiveWords,NegativeWords,UncertainWords,Industry_Bins
0,0.458312020460358,1.0,1.0,0.6304181623079402,0.6377164134604225,0.6738692813054036,0.20767294171155992,0.4707520891364903,0.5207213168996608,0.522444552408284,0.5311387900355872,0.7307904492446368,0.6583023582222144,0.6567729824048019,0.6637362495501218,0,0.5702840445048292,0.4417856649169672,0.4277036548068896,0.4283344632087988,0.4281612478782396,0.3979924101468128,0.3790654291383635,1
1,0.9999999999999998,0.0,0.21388888888888896,0.38473543487358974,0.524140649083651,0.2907058476875311,0.14749424475592976,0.9178272980501392,0.8959798163619821,0.8851277300100556,0.9030249110320284,0.9308005805756262,0.7037548232493868,0.9935869964481416,0.9069796501410494,1,0.6989422100442455,0.4447955433659397,0.4269036793615845,0.4244993962119072,0.4009710313670469,0.41419489312671015,0.37848644659142494,1
2,0.3273657289002557,1.0,0.2842592592592593,0.5820107532152469,0.3788418299531837,0.4491068215687809,0.07838345509420132,0.09610027855153204,0.2123004384150881,0.21625408159806567,0.22330960854092524,0.50195252038562,0.6530568375096127,0.24043688233249466,0.36407912084850014,1,0.5555962405804481,0.4392753528232412,0.4277407894728254,0.4376812884913709,0.4937706949759799,0.3639244612762361,0.3840580103672999,1
3,0.8143222506393861,1.0,0.34537037037037044,0.5780042592403551,0.3488972231830163,0.4232741033243342,0.08431867336692607,0.27298050139275765,0.3362561005873108,0.3423006089913792,0.31049822064056937,0.6278254653912347,0.7464447117185723,0.4164488962133405,0.5722633835193014,1,0.5533736617492314,0.3716900790166813,0.4283431137681455,0.4375232870717313,0.4793312235148054,0.3757644293556827,0.4014951777646295,1
4,0.2864450127877238,1.0,0.5268518518518519,0.2599824998131782,0.5432831671534871,0.5900684251037936,0.7292551584378354,0.6128133704735376,0.6080320952932419,0.5954783237484039,0.5934163701067615,0.7464856638241916,0.6839267533554219,0.7573981970568369,0.7414226880391382,0,0.5663772595366241,0.4049176986314825,0.4260879210629936,0.4204969178614595,0.4228762753618635,0.4056051296463107,0.3826008703856104,3
5,0.3437340153452685,1.0,0.525,0.1287535467986498,0.6499270095601528,0.55695910450826,0.407611343022829,0.5264623955431755,0.7391016626685417,0.6297355011468019,0.5791814946619217,0.7941433774766071,0.6583023582222144,0.581348033805152,0.7773599546061921,0,0.6131226072876897,0.4436715385012653,0.4164185380768812,0.41564768920168893,0.4046081022890213,0.348587637224252,0.36891182510177695,2
6,0.4828644501278772,1.0,0.16759259259259265,0.48582752034735205,0.4093196682569618,0.4735323725092155,0.0653181150189239,0.5055710306406686,0.6464140954586814,0.6305941902900335,0.6699288256227758,0.7350086109681135,0.7556038851795075,0.6184130382977313,0.6518828629873086,1,0.5585347811278729,0.5288778567057759,0.4258466481844546,0.4141293850179028,0.4327635729941626,0.3703404346644224,0.3474567354739567,1
7,0.3314578005115089,0.0,0.3768518518518519,0.6972778330020426,0.4136255125469947,0.5804418670178559,0.6487786945964816,0.2813370473537605,0.4589709653403921,0.4544725275966873,0.4866548042704626,0.0,0.620653415426698,0.6668519290480854,0.6117752903214979,1,0.5204544960641979,0.5710853621992187,0.4266700788222805,0.0,0.4285159668037187,0.4109270571438613,0.3783994937557816,1
8,0.3682864450127877,1.0,0.4194444444444445,0.29228842985456194,0.7333831968700669,0.6871161363224823,0.4849032843013324,0.6796657381615598,0.6073289767557284,0.6084490492277447,0.5916370106761566,0.8423162511721455,0.6370611803817912,0.6800581997786358,0.9005088446746272,1,0.5941332159901199,0.3721688521340168,0.42770266279377256,0.4378480043803029,0.4131228693496182,0.3897883827884692,0.41957244366816576,2
9,0.3928388746803069,1.0,0.7898148148148149,0.3177152407746354,0.5714841725586605,0.6871161363224823,0.6445824571972089,0.3523676880222841,0.3724460253122674,0.3663890991672975,0.34786476868327404,0.5962559900584736,0.7510382609930698,0.5579283526516707,0.6868295951599088,0,0.5452195840480109,0.3540614574187884,0.4260154450220445,0.42291366379082895,0.4723994705750245,0.40392750960283297,0.4214949963409712,1
