,C1,C4,C6p,C7,C5p,T4p,T3p,T5p,S1p,S2p,S3p,C2,C3p
0,0.458312020460358,0.6304181623079402,0.622222222222222,0.04312805071913297,0.4712424993948239,0.5343070414859705,0.6175691473869893,0.5673750307990237,0.4625249056507465,0.5324631970970819,0.4787762878639418,1.0,0
1,0.9999999999999998,0.38473543487358974,0.0,0.021754552236122115,1.0,0.5457086629738079,0.521719691311441,0.48910424925194307,0.2714834925916,0.6676854118774631,0.4747538913760063,0.0,1
2,0.3273657289002557,0.5820107532152469,0.0,0.006143966032504676,0.4060773165420647,0.524797810866118,0.6220402766330846,0.7734081113037077,0.9999999999999998,0.32479020496331873,0.5147609751738877,1.0,1
3,0.8143222506393861,0.5780042592403551,0.0,0.007109638678358368,0.39694011613614055,0.26878025960676766,0.694833575826566,0.7697379580171566,0.9999999999999998,0.3866739335854084,0.6602477076805519,1.0,1
4,0.2864450127877238,0.2599824998131782,0.28,0.5318130861081923,0.4530729837274894,0.39464871184248107,0.4248996536892147,0.4111013379139743,0.4203665854087259,0.5926459991660837,0.5040143023406379,1.0,0
5,0.34373401534526854,0.1287535467986498,0.0,0.16614700696087434,0.716007821344761,0.5414508571405261,0.0,0.3214403362668359,0.29353120397470067,0.2582664673327931,0.41254159212884123,1.0,0
6,0.4828644501278772,0.48582752034735194,0.0,0.004266456149625372,0.41844175669888817,0.8642181067188881,0.39644072962317267,0.2944227800912229,0.5014192095232115,0.3570934822127639,0.29949264347600024,1.0,1
7,0.3314578005115089,0.6972778330020426,0.0,0.4209137945623148,0.2813733778686107,1.0,0.49389964340377723,0.0,0.4654491380420828,0.6382084077478334,0.4741524509332138,0.0,1
8,0.3682864450127877,0.29228842985456194,0.0,0.2351311951262188,0.5965493371536102,0.2705938842945932,0.6174497325386881,0.7772878789709703,0.3491758184534229,0.4737385112708706,0.8483895157264493,1.0,1
9,0.39283887468030687,0.3177152407746354,0.0,0.41548654412639163,0.364951858968281,0.202001858346045,0.41634239765655146,0.4577579692398801,0.9344636902752821,0.5788903426042473,0.8709213518364399,1.0,0
10,0.5717802061536076,0.5042232267103278,0.0,0.4209137945623148,0.48588177120710685,0.1881722900478573,0.4916578964510965,0.03704605710672371,0.6864435386212491,0.4919366546513016,0.3947780452053755,1.0,0
11,0.3641943734015345,0.551736751986992,0.0,0.00020692985268293404,0.2978507922730915,0.28411363196747685,0.5187570405732043,0.9037435918476715,0.47857019524466965,0.3824104049909524,0.5672586398049939,1.0,1
12,0.47468030690537083,0.5763130141984775,0.3733333333333334,0.022228135598156635,0.5203188006014441,0.6503281563106342,0.21125864500768188,0.3188254075696748,0.31941357378565954,0.4120719602293477,0.7086799167803325,1.0,0
13,0.5319693094629155,0.42548017461605714,0.4869565217391304,0.0,0.47167579737234144,0.3100202913131811,0.8280325051781183,0.9646168033843345,0.7927694140761121,0.6724478680135202,0.6410324114879082,1.0,1
14,0.9999999999999998,0.5968335344505056,0.0,0.1403270401799692,0.44148655281011207,0.45145146122269164,0.3824137901272877,0.4175224598051477,0.5080113011903222,0.8545458046020309,0.349893246676818,1.0,0
15,0.9125319693094628,0.0,0.0,0.4291001731337925,1.0,0.7038388456794173,0.24972445199329663,0.06076217638079495,0.524833620509358,0.23964309051651694,0.29771865339490755,1.0,0
16,0.4705882352941176,0.46352882382976185,0.0,0.48041204717305663,0.23408659201371104,0.2182308891919167,0.3533034914574351,0.5069161808548437,0.5454417402298164,0.2425103639570993,0.6251308296975685,1.0,0
17,0.2741687979539642,0.42548017461605714,0.0,0.3056766101475776,0.26654182926626835,0.511356040423208,0.032764668795443264,0.54021833679309,0.6379880708458767,0.7194978141379649,0.54091817883177,1.0,0
18,0.33554987212276216,0.6753351379370539,0.0,0.14316517563912456,0.9674109396211774,0.45874370607555637,0.7199907179202132,0.14086996971200194,0.35860488553253494,0.27354329189539556,0.3062746655139953,1.0,0
19,0.8061381074168796,0.3885530643736826,0.7000000000000001,0.11139387264792774,0.4639842256408556,0.2209661498123232,0.2698544605225415,0.08663364466775669,0.4124084747768885,0.3534793857788241,0.24037700423658526,1.0,0
20,0.6710997442455242,0.7241628354960254,0.0,0.4209137945623148,0.5865521349174222,0.4957583197901594,0.5878762185821937,0.6057241117682848,0.45161270970031636,0.5789657515341304,0.6502752367285779,1.0,1
21,0.2782608695652174,0.7749913549230045,0.3733333333333334,1.0,0.5458725972645655,0.420677135896522,0.22674958660551425,0.37279868330401866,0.35701799904365744,0.24166063133924098,0.11578857454130392,1.0,0
22,0.2373401534526854,0.4767944423751247,0.0,0.05428291566396383,0.3540470402790854,0.25406974824995787,0.5005635164264639,0.3654928923348719,0.40817103176464425,0.8842227957562068,0.7701448611472158,1.0,1
