,I1,I2,I3,pIPO,pH,pL,p1day,Pmid,Y1,Y2,C1,C4,C7,C5p,C6p,T4p,T3p,T5p,S1p,S2p,S3p,C2,C3p
0,AATI,ADVANCED ANALOGIC TECHNOLOGIES INC,3674,10.0,9.5,8.5,11.869999885559098,9.0,0,1,0.030756235600931645,0.6692431749087466,-0.4778471797246648,0.056126741504779545,1.2823563329621543,0.1687418975823473,0.1743454555868102,0.31082621835244206,-0.14696978930540017,0.16562812088705836,-0.128062267773236,1.0,0
1,ABPI,ACCENTIA BIOPHARMACEUTICALS INC,2834,8.0,10.0,8.0,7.25,9.0,1,0,1.2798238678460705,-0.6437257991595595,-0.7893100068923873,2.434274961318814,-0.7599326711060854,0.22940188492351873,0.09976727492104459,-0.01616837152342324,-1.2408802134615025,0.7816329832196591,-0.14767627035038344,0.0,1
2,ACAD,ACADIA PHARMACEUTICALS INC,2834,7.0,14.0,12.0,6.699999809265139,13.0,1,0,-0.4311827997136966,0.41054600511799766,-1.2776843397039128,-0.2310830377714856,-0.7599326711060854,0.11814998750711266,0.17780735662562733,1.1076796216895681,2.767208868694431,-0.9742212648335118,0.04464903255941786,1.0,1
3,ACHN,ACHILLION PHARMACEUTICALS INC,2834,11.5,16.0,14.0,12.390000343322802,15.0,1,1,0.9078284739700164,0.3891346412066703,-1.226569424197081,-0.27469745251423344,-0.7599326711060854,-1.2439388553014636,0.23395939276548283,1.0942104565253878,2.091906801627304,-0.6029159200460845,0.6978290240022285,1.0,1
4,ACLI,AMERICAN COMMERCIAL LINES INC. ,4492,21.0,21.0,19.0,56.5999984741211,20.0,0,1,-0.6038381048695647,-1.3104260384022517,1.0265138739363706,-0.02007507037360273,1.0278687768806383,-0.5742815852880742,0.023717728489365274,-0.3574645249544516,-0.36470449241521014,0.4493838428401101,-0.006420949202184392,1.0,0
5,ACOM,Ancestry.com Inc. ,7379,13.5,14.5,12.5,14.1999998092651,13.5,0,1,-0.36657748556886627,-2.01173518457975,0.2512147893793066,0.8790846767876253,-0.7599326711060854,0.20674910275358294,-0.8777161786349464,-0.7710042359507476,-1.0983062693950192,-1.4140492656849182,-0.4594956911226118,1.0,0
6,ACOR,ACORDA THERAPEUTICS INC,2836,6.0,13.0,11.0,6.71999979019165,12.0,1,1,0.10582094151153362,-0.1034730384668959,-1.399794426899366,-0.1734740356175565,-0.7599326711060854,1.923966017422598,0.0012249227026088771,-0.9004940091144802,0.044674064313468154,-0.7763869302168305,-1.0725778501465326,1.0,1
7,ACRX,ACELRX PHARMACEUTICALS INC,2834,5.0,14.0,12.0,4.550000190734861,13.0,1,0,-0.4148105360895728,1.0265522708900163,-0.11730999166596494,-0.9228030483098594,-0.7599326711060854,2.77460061690572,0.0779897274649532,-7.0970136973147255,-0.1322665151895174,0.6537463410300584,-0.15061448394658672,0.0,1
8,ACTV,ACTIVE NETWORK INC,7372,15.0,18.0,16.0,15.8999996185303,17.0,1,1,-0.2738390438965955,-1.1377778255396185,0.4670928696274288,0.5174551600394309,-0.7599326711060854,-1.2342898373330549,0.1742529745814323,1.12189163220227,-0.7600251478761427,-0.1286088359701617,1.4554008669681333,1.0,1
9,ACW,ACCURIDE CORP,3714,9.0,19.0,17.0,0.0,18.0,1,0,-0.18562726538848315,-1.0018927586641764,0.849215379280853,-0.4349661075828301,-0.7599326711060854,-1.5992196352729982,0.016961107011094847,-0.15138224602419736,1.7745810675398128,0.38597890639570354,1.5406717416410218,1.0,0
