,C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,C3p,C5p,C6p,LongSentences,RealWords,LongWords,PositiveWords,NegativeWords,UncertainWords
0,2.227032928324658,1.0,1.2280489741953775,0.02907427348367355,17.52815663509693,16.176364559082295,1.9278934435158213,21.6794833886788,112.7785440586994,107.5174404457249,17.349351572897472,2.972634508715058,3.9578916096804053,2.211554486443585,2.2759836263427493,1,1.3517920760146354,1.4938015821857216,0.6404255319148936,0.646514840712327,0.6152703977629683,0.16955590037626195,0.2095290761625896,0.22191531627441008
1,2.524739805985776,0.0,,-0.013351642245815757,17.17828570227315,14.690979295318174,1.7204834510090128,28.124722220850465,147.62113669796747,139.94641831786907,22.58317958127243,3.222574778605178,4.140817749422854,2.496333247859699,2.487662107710009,0,2.4873064069549757,0.0,0.6447534766118836,0.6411822409304438,0.6097523583810323,0.1482474002813909,0.22310335023147002,0.22155612049160053
2,2.1169328630254585,1.0,,0.02071500183158597,16.639604089720702,15.424948470398375,1.395264170011446,14.177446878757825,72.53964433328854,69.17369442208505,11.313708498984761,2.6220877817820485,3.9364971831021736,1.7909590531320994,1.9786024464679264,0,1.2146556193223295,0.0,0.6368159203980099,0.6467628998620762,0.6287173127804719,0.22632176971914272,0.18441137189573298,0.22507821841429881
3,2.436077203292199,1.0,,0.0200231372567966,16.513418634488744,15.319587954740548,1.429302723949535,18.110770276274835,90.87904048789248,87.02873088813831,13.30413469565007,2.825658221139116,4.308869380063767,1.9730677676839334,2.1889312134150734,0,1.193830679748194,0.0,0.5396341463414634,0.6507928546907172,0.6284900203844541,0.21316742559515517,0.19259345100189315,0.2370400552407705
4,2.075781631112427,1.0,0.6419723747801425,-0.034894701316965815,17.241131117548555,15.925723758310864,2.929680776228073,23.916521486202797,121.77848742696716,114.78675881825394,18.33030277982336,2.9937951655239092,4.0615481004456795,2.3024897811675307,2.346673911387638,1,1.3154073592376931,1.3076604860118306,0.5874125874125874,0.6357666167837447,0.6039929798657772,0.16531460251546923,0.21578191307010747,0.22414296198182024
5,2.1323311055688197,1.0,0.6256890314820024,-0.05755607666070545,17.562727691422296,15.81799100350798,2.413391950428895,22.58317958127243,134.1603518182626,118.04236527620073,18.110770276274835,3.0562785596663105,3.9578916096804053,2.1398263878673256,2.3783718855180975,1,1.7447366879143171,0.0,0.6431372549019608,0.5733237570435212,0.5970144900622046,0.15102462667358887,0.1747193285503004,0.21584569904656628
6,2.244924096618746,1.0,,0.004105524336536758,16.76242132185757,15.520258650202699,1.3139483593879966,22.24859546128699,125.53087269671951,118.12281744015421,19.467922333931785,2.9783511751435774,4.344481485768612,2.175459374744417,2.264934400822702,0,1.2421626716548688,0.0,0.7656565656565657,0.6341691747853527,0.594829347891667,0.17328896935781904,0.18877084637804872,0.20461818313435057
7,2.1208350820550415,0.0,,0.040619988496656566,16.77932637719795,15.89495209964411,2.8177008942310073,18.275666882497067,105.95281968876525,100.2796090937734,16.61324772583615,,3.8029524607613916,2.2209061548523255,2.227032928324658,0,0.8843742775538389,0.0,0.8263473053892215,0.6396291284995322,,0.16984230839557934,0.2202852420687244,0.2215023123038735
8,2.1544346900318834,1.0,,-0.029315926285396837,17.785472247187023,16.213405830762646,2.5571499436822456,24.899799195977465,121.70866854912184,116.03016849078519,18.303005217723125,3.116938422998007,3.8708766406277966,2.2330765665867007,2.4823859788012492,0,1.572066416424378,0.0,0.5403225806451613,0.6465082147087926,0.6289571407046444,0.15761407234555863,0.2030452749171755,0.25091364427994267
9,2.175459374744417,1.0,1.0687210857774743,-0.02492507736968316,17.330711694641643,16.213405830762646,2.8116137831863424,19.621416870348583,95.57196241576293,90.03888049059695,14.071247279470288,2.777380919494967,4.326748710922225,2.1169328630254585,2.297309750099903,1,1.1173058638789977,0.0,0.5142857142857142,0.635286553430907,0.6074706219010412,0.20698617410911632,0.21438472282495707,0.25247522960443275
