,I1,I2,I3,pIPO,pH,pL,p1day,Pmid,Y1,Y2,C6p,C1,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,C5p,LongSentences,RealWords,LongWords,PositiveWords,NegativeWords,UncertainWords,C2,C3p,Industry_Bins
0,AATI,ADVANCED ANALOGIC TECHNOLOGIES INC,3674,10.0,9.5,8.5,11.869999885559098,9.0,0,1,11.111111111111107,0.030756235600931645,0.7125863087827747,0.6692431749087466,0.34950630161112145,0.3433803341636889,-0.4778471797246648,0.13109314296957816,0.10379567817230098,0.14754168319580685,0.1656626891289202,0.24621550222944485,-0.008503294026990918,0.2155186788164689,0.0899061718899955,0.056126741504779545,0.1687418975823473,0.3850697951701976,0.310826218352442,-0.14696978930540014,0.16562812088705833,-0.128062267773236,1.0,0,1
1,ABPI,ACCENTIA BIOPHARMACEUTICALS INC,2834,8.0,10.0,8.0,7.25,9.0,1,0,0.0,1.2798238678460705,0.1780816990330029,-0.6437257991595595,-0.08908426793475077,-1.6456024728970915,-0.7893100068923873,1.873545066307884,1.676347366927058,1.7030676254439188,1.7453465334007143,1.5186888041800808,0.2603147674009432,1.649890980893453,1.4808229390444103,2.4342749613188137,0.22940188492351876,0.15149426178045075,-0.016168371523423236,-1.240880213461505,0.7816329832196589,-0.14767627035038344,0.0,1,1
2,ACAD,ACADIA PHARMACEUTICALS INC,2834,7.0,14.0,12.0,6.699999809265139,13.0,1,0,0.0,-0.4311827997136966,0.01861479928346642,0.4105460051179977,-0.7643637870031863,-0.6627920830540641,-1.2776843397039128,-1.8970610164103492,-1.7123076862344355,-1.6916988842344185,-1.6560264910264642,-1.4495976576922933,-0.039943351124461166,-1.9029343860191583,-1.8641539038075736,-0.2310830377714856,0.11814998750711266,0.3959351423900852,1.107679621689568,2.7672088686944307,-0.9742212648335116,0.044649032559417864,1.0,1,1
3,ACHN,ACHILLION PHARMACEUTICALS INC,2834,11.5,16.0,14.0,12.390000343322802,15.0,1,1,0.0,0.9078284739700164,-0.14357351792411366,0.3891346412066703,-0.9225471211599132,-0.8038734976194919,-1.226569424197081,-0.8336982617355463,-0.8845952168367871,-0.8352435086677045,-1.055272300965909,-0.4777195916460189,0.507274079133526,-0.9856900844389758,-0.4821059664259307,-0.27469745251423344,-1.2439388553014636,0.5724529549276591,1.094210456525394,2.0919068016273035,-0.6029159200460844,0.6978290240022285,1.0,1,1
4,ACLI,AMERICAN COMMERCIAL LINES INC. ,4492,21.0,21.0,19.0,56.5999984741211,20.0,0,1,5.0,-0.6038381048695647,-0.7332553673081937,-1.3104260384022517,-0.010302626211831674,0.007763537872727517,1.0265138739363706,0.7358700080494401,0.5099903689346688,0.4962302343894835,0.4617352331865673,0.3519459559287816,0.14382450855593193,0.6735411359148236,0.554404509693494,-0.020075070373602732,-0.5742815852880742,-0.08571785809420325,-0.3574645249544515,-0.3647044924152101,0.4493838428401101,-0.006420949202185907,1.0,0,3
5,ACOM,Ancestry.com Inc. ,7379,13.5,14.5,12.5,14.1999998092651,13.5,0,1,0.0,-0.3665774855688663,-0.7428109995740418,-2.01173518457975,0.3928438237115395,-0.13649438785707954,0.2512147893793066,0.37540482945641,1.0688213939405349,0.6523924274457349,0.3954755187685118,0.6663274204394778,-0.008503294026990918,-0.14576106468273178,0.7626885233452505,0.8790846767876253,0.20674910275358294,-2.8208048450746745,-0.7710042359507474,-1.0983062693950192,-1.4140492656849182,-0.4594956911226118,1.0,0,2
6,ACOR,ACORDA THERAPEUTICS INC,2836,6.0,13.0,11.0,6.71999979019165,12.0,1,1,0.0,0.10582094151153362,0.2708295737304747,-0.1034730384668959,-0.6104027838463814,-0.5351684196226134,-1.399794426899366,0.28495096753324384,0.6793468761814122,0.65625148919702,0.8050937133806336,0.2747421805163176,0.5596076451969751,0.033714993021198326,0.017302887226212867,-0.1734740356175565,1.923966017422598,-0.15568811314713568,-0.9004940091144734,0.04467406431346815,-0.7763869302168304,-1.0725778501465326,1.0,1,1
7,ACRX,ACELRX PHARMACEUTICALS INC,2834,5.0,14.0,12.0,4.5500001907348615,13.0,1,0,0.0,-0.4148105360895728,-0.2384385649267472,1.0265522708900163,-0.5892109752268397,-0.03344078906251037,-0.11730999166596495,-0.7891189348641049,-0.2042699269347456,-0.19963652507107216,-0.05650956281524064,-3.116393766864555,-0.2361932333125672,0.2626211174850101,-0.2317436538149896,-0.9228030483098594,2.7746006169057202,0.08346570548472428,-7.097013697314724,-0.13226651518951738,0.6537463410300582,-0.15061448394658672,0.0,1,1
8,ACTV,ACTIVE NETWORK INC,7372,15.0,18.0,16.0,15.8999996185303,17.0,1,1,0.0,-0.2738390438965955,-0.3827188253531621,-1.1377778255396185,0.6720715400228555,0.3929798921512112,0.4670928696274288,1.001696330577702,0.5068392316068775,0.5558730640244564,0.4534962314905345,0.9746244697028736,-0.13637564364781335,0.3239209890409258,1.4461540576472007,0.5174551600394309,-1.2342898373330549,0.3847795666938171,1.1218916322022698,-0.7600251478761471,-0.12860883597016168,1.4554008669681333,1.0,1,2
9,ACW,ACCURIDE CORP,3714,9.0,19.0,17.0,0.0,18.0,1,0,0.0,-0.18562726538848315,0.12629097142778412,-1.0018927586641764,0.1019936311834509,0.3929798921512112,0.849215379280853,-0.4252992664664503,-0.6727894428155483,-0.6908551836599547,-0.8237409335882797,-0.7114780796908722,0.5335485474395127,-0.2610710609998496,0.2300378608582829,-0.4349661075828301,-1.5992196352729982,-0.10674532279929508,-0.15138224602420391,1.7745810675398124,0.3859789063957035,1.5406717416410218,1.0,0,1
