,pIPO,pH,pL,p1day,C1,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3
0,0.2857142857142857,0.15625,0.21875,0.3303071237330085,0.458312020460358,1.0,0.6304181623079402,0.4066822239968245,0.4540998082870612,0.0016709944807740955,0.47075208913649025,0.5207213168996608,0.522444552408284,0.5311387900355872,0.5340546807071781,0.43336199484092863,0.4313507504168982,0.4405458089668616
1,0.2040816326530612,0.1875,0.1875,0.2017461390187297,0.9999999999999998,0.21388888888888896,0.38473543487358974,0.27472342002183087,0.08450988987972603,0.0008428791960714568,0.9178272980501393,0.895979816361982,0.8851277300100556,0.9030249110320284,0.8663897207999228,0.4952708512467756,0.9872151195108393,0.8226120857699805
2,0.16326530612244897,0.4375,0.4375,0.18644125419937482,0.3273657289002557,0.2842592592592593,0.5820107532152469,0.14352113212227696,0.2016969371796128,0.00023804770118729873,0.09610027855153203,0.2123004384150881,0.21625408159806567,0.22330960854092524,0.2519563327214762,0.4264832330180568,0.05780989438576989,0.13255360623781676
3,0.346938775510204,0.5625,0.5625,0.34477720437325665,0.8143222506393861,0.34537037037037044,0.5780042592403551,0.12172927234481948,0.17916096654501917,0.0002754626465546343,0.27298050139275765,0.3362561005873108,0.3423006089913792,0.31049822064056937,0.39416481499372047,0.5571797076526225,0.17342968315730964,0.32748538011695905
4,0.7346938775510203,0.875,0.875,1.0,0.2864450127877238,0.5268518518518519,0.2599824998131782,0.2951565997123238,0.34818074630447127,0.02060507527867453,0.6128133704735376,0.6080320952932419,0.595478323748404,0.5934163701067615,0.557240846295044,0.46775580395528804,0.5736520289049472,0.5497076023391813
5,0.4285714285714285,0.46875,0.46875,0.3951441566325424,0.34373401534526854,0.525,0.1287535467986498,0.42240511775580303,0.31020344409464295,0.006437358679547055,0.5264623955431755,0.7391016626685417,0.6297355011468019,0.5791814946619217,0.6306637039899528,0.43336199484092863,0.3379655364091162,0.6042884990253411
6,0.12244897959183673,0.375,0.375,0.18699779474177092,0.4828644501278772,0.16759259259259263,0.48582752034735194,0.16754259082198927,0.2242329078142064,0.00016530366106544075,0.5055710306406686,0.6464140954586814,0.6305941902900335,0.6699288256227758,0.5402376581972756,0.5709372312983663,0.38243468593663144,0.4249512670565302
7,0.08163265306122447,0.4375,0.4375,0.1266130994503782,0.3314578005115089,0.3768518518518519,0.6972778330020426,0.17108606462976403,0.3369127609871745,0.016308286970254455,0.28133704735376047,0.4589709653403921,0.45447252759668727,0.4866548042704626,0.0,0.3852106620808255,0.44469149527515284,0.3742690058479532
8,0.4897959183673468,0.6875,0.6875,0.4424501425431398,0.3682864450127877,0.4194444444444445,0.29228842985456194,0.5378509134513594,0.4721285847947361,0.009110148099956309,0.6796657381615598,0.6073289767557284,0.6084490492277447,0.5916370106761566,0.7094966669886968,0.4058469475494411,0.4624791550861589,0.8109161793372319
9,0.24489795918367344,0.75,0.75,0.0,0.39283887468030687,0.7898148148148149,0.3177152407746354,0.3265941594850568,0.4721285847947361,0.0160980083842069,0.35236768802228413,0.3724460253122674,0.3663890991672975,0.347864768683274,0.3555212056806106,0.5640584694754944,0.311284046692607,0.47173489278752434
